,genome,contig,contig length,no. of annotations on contig
0,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_1_length_68136_cov_9.734671,68136,55
1,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_2_length_67305_cov_9.775332,67305,66
2,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_3_length_61789_cov_9.822239,61789,50
3,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_4_length_57142_cov_9.783422,57142,54
4,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_5_length_50575_cov_9.734049,50575,46
5,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_6_length_49633_cov_9.869481,49633,44
6,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_7_length_47876_cov_9.741145,47876,49
7,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_8_length_47489_cov_9.719290,47489,40
8,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_9_length_44734_cov_9.741653,44734,46
9,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_10_length_44459_cov_9.765130,44459,38
10,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_11_length_44345_cov_9.723683,44345,43
11,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_12_length_42320_cov_9.732524,42320,40
12,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_13_length_41361_cov_9.804670,41361,45
13,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_14_length_39543_cov_9.766229,39543,28
14,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_15_length_39053_cov_9.730424,39053,39
15,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_16_length_38098_cov_9.731754,38098,41
16,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_17_length_37367_cov_9.752481,37367,32
17,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_18_length_37036_cov_9.751725,37036,32
18,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_19_length_36306_cov_9.713931,36306,35
19,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_20_length_36282_cov_9.716006,36282,31
20,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_21_length_34941_cov_9.757142,34941,22
21,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_22_length_34359_cov_10.051426,34359,32
22,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_23_length_33787_cov_9.746069,33787,26
23,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_24_length_33183_cov_9.735244,33183,25
24,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_25_length_32808_cov_9.716202,32808,26
25,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_26_length_31980_cov_9.636774,31980,30
26,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_27_length_31498_cov_9.813819,31498,31
27,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_28_length_31159_cov_9.744643,31159,26
28,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_29_length_30053_cov_9.904590,30053,32
29,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_30_length_29369_cov_9.713540,29369,27
30,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_31_length_29347_cov_9.634267,29347,23
31,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_32_length_28493_cov_9.792406,28493,26
32,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_33_length_28375_cov_9.781151,28375,29
