,genome,contig,contig length,no. of annotations on contig
0,17870_7_11.velvet,ERS725493_SC_contig000001,393383,396
1,17870_7_11.velvet,ERS725493_SC_contig000002,313001,334
2,17870_7_11.velvet,ERS725493_SC_contig000003,200830,226
3,17870_7_11.velvet,ERS725493_SC_contig000004,178059,177
4,17870_7_11.velvet,ERS725493_SC_contig000005,158966,152
5,17870_7_11.velvet,ERS725493_SC_contig000006,130647,121
6,17870_7_11.velvet,ERS725493_SC_contig000007,120231,128
7,17870_7_11.velvet,ERS725493_SC_contig000008,119507,132
8,17870_7_11.velvet,ERS725493_SC_contig000009,89516,90
9,17870_7_11.velvet,ERS725493_SC_contig000010,88058,92
10,17870_7_11.velvet,ERS725493_SC_contig000011,72272,65
11,17870_7_11.velvet,ERS725493_SC_contig000012,71342,62
12,17870_7_11.velvet,ERS725493_SC_contig000013,58407,72
13,17870_7_11.velvet,ERS725493_SC_contig000014,31374,33
14,17870_7_11.velvet,ERS725493_SC_contig000015,26378,36
15,17870_7_11.velvet,ERS725493_SC_contig000016,23798,35
16,17870_7_11.velvet,ERS725493_SC_contig000017,19395,21
17,17870_7_11.velvet,ERS725493_SC_contig000018,8817,7
18,17870_7_11.velvet,ERS725493_SC_contig000019,6338,5
19,17870_7_11.velvet,ERS725493_SC_contig000020,3845,5
20,17870_7_11.velvet,ERS725493_SC_contig000021,1376,1
21,17870_7_11.velvet,ERS725493_SC_contig000022,1310,0
22,17870_7_11.velvet,ERS725493_SC_contig000023,1288,1
23,17870_7_11.velvet,ERS725493_SC_contig000024,1257,2
24,17870_7_11.velvet,ERS725493_SC_contig000025,1231,1
25,17870_7_11.velvet,ERS725493_SC_contig000026,1230,0
26,17870_7_11.velvet,ERS725493_SC_contig000027,1226,1
27,17870_7_11.velvet,ERS725493_SC_contig000028,1186,1
28,17870_7_11.velvet,ERS725493_SC_contig000029,1173,0
29,17870_7_11.velvet,ERS725493_SC_contig000030,1125,1
30,17870_7_11.velvet,ERS725493_SC_contig000031,1068,0
31,17870_7_11.velvet,ERS725493_SC_contig000032,1056,0
32,17870_7_11.velvet,ERS725493_SC_contig000033,1034,0
33,17870_7_11.velvet,ERS725493_SC_contig000034,1011,0
34,17870_7_11.velvet,ERS725493_SC_contig000035,1000,1
35,17870_7_11.velvet,ERS725493_SC_contig000036,902,0
36,17870_7_11.velvet,ERS725493_SC_contig000037,877,2
37,17870_7_11.velvet,ERS725493_SC_contig000038,860,0
38,17870_7_11.velvet,ERS725493_SC_contig000039,848,0
39,17870_7_11.velvet,ERS725493_SC_contig000040,838,0
40,17870_7_11.velvet,ERS725493_SC_contig000041,832,0
41,17870_7_11.velvet,ERS725493_SC_contig000042,823,0
42,17870_7_11.velvet,ERS725493_SC_contig000043,817,1
43,17870_7_11.velvet,ERS725493_SC_contig000044,813,0
44,17870_7_11.velvet,ERS725493_SC_contig000045,802,1
45,17870_7_11.velvet,ERS725493_SC_contig000046,801,0
46,17870_7_11.velvet,ERS725493_SC_contig000047,799,1
47,17870_7_11.velvet,ERS725493_SC_contig000048,757,1
48,17870_7_11.velvet,ERS725493_SC_contig000049,738,0
49,17870_7_11.velvet,ERS725493_SC_contig000050,728,0
50,17870_7_11.velvet,ERS725493_SC_contig000051,723,0
51,17870_7_11.velvet,ERS725493_SC_contig000052,717,1
52,17870_7_11.velvet,ERS725493_SC_contig000053,685,1
53,17870_7_11.velvet,ERS725493_SC_contig000054,676,0
54,17870_7_11.velvet,ERS725493_SC_contig000055,662,0
55,17870_7_11.velvet,ERS725493_SC_contig000056,659,0
56,17870_7_11.velvet,ERS725493_SC_contig000057,630,0
57,17870_7_11.velvet,ERS725493_SC_contig000058,619,0
58,17870_7_11.velvet,ERS725493_SC_contig000059,611,0
59,17870_7_11.velvet,ERS725493_SC_contig000060,609,1
60,17870_7_11.velvet,ERS725493_SC_contig000061,571,0
61,17870_7_11.velvet,ERS725493_SC_contig000062,560,0
62,17870_7_11.velvet,ERS725493_SC_contig000063,551,0
63,17870_7_11.velvet,ERS725493_SC_contig000064,550,0
64,17870_7_11.velvet,ERS725493_SC_contig000065,545,0
65,17870_7_11.velvet,ERS725493_SC_contig000066,543,0
66,17870_7_11.velvet,ERS725493_SC_contig000067,537,0
67,17870_7_11.velvet,ERS725493_SC_contig000068,534,0
68,17870_7_11.velvet,ERS725493_SC_contig000069,532,1
69,17870_7_11.velvet,ERS725493_SC_contig000070,527,0
70,17870_7_11.velvet,ERS725493_SC_contig000071,527,0
71,17870_7_11.velvet,ERS725493_SC_contig000072,527,0
72,17870_7_11.velvet,ERS725493_SC_contig000073,524,0
73,17870_7_11.velvet,ERS725493_SC_contig000074,523,0
74,17870_7_11.velvet,ERS725493_SC_contig000075,517,0
75,17870_7_11.velvet,ERS725493_SC_contig000076,513,0
76,17870_7_11.velvet,ERS725493_SC_contig000077,511,0
77,17870_7_11.velvet,ERS725493_SC_contig000078,509,0
78,17870_7_11.velvet,ERS725493_SC_contig000079,504,0
79,17870_7_11.velvet,ERS725493_SC_contig000080,501,0
80,17870_7_11.velvet,ERS725493_SC_contig000081,488,0
81,17870_7_11.velvet,ERS725493_SC_contig000082,485,0
82,17870_7_11.velvet,ERS725493_SC_contig000083,482,0
83,17870_7_11.velvet,ERS725493_SC_contig000084,478,0
84,17870_7_11.velvet,ERS725493_SC_contig000085,475,0
85,17870_7_11.velvet,ERS725493_SC_contig000086,475,0
86,17870_7_11.velvet,ERS725493_SC_contig000087,473,0
87,17870_7_11.velvet,ERS725493_SC_contig000088,472,0
88,17870_7_11.velvet,ERS725493_SC_contig000089,472,0
89,17870_7_11.velvet,ERS725493_SC_contig000090,468,1
90,17870_7_11.velvet,ERS725493_SC_contig000091,468,0
91,17870_7_11.velvet,ERS725493_SC_contig000092,464,0
92,17870_7_11.velvet,ERS725493_SC_contig000093,462,0
93,17870_7_11.velvet,ERS725493_SC_contig000094,462,0
94,17870_7_11.velvet,ERS725493_SC_contig000095,457,0
95,17870_7_11.velvet,ERS725493_SC_contig000096,454,0
96,17870_7_11.velvet,ERS725493_SC_contig000097,449,1
97,17870_7_11.velvet,ERS725493_SC_contig000098,447,0
98,17870_7_11.velvet,ERS725493_SC_contig000099,443,0
99,17870_7_11.velvet,ERS725493_SC_contig000100,440,0
100,17870_7_11.velvet,ERS725493_SC_contig000102,438,1
101,17870_7_11.velvet,ERS725493_SC_contig000101,438,0
102,17870_7_11.velvet,ERS725493_SC_contig000103,438,0
103,17870_7_11.velvet,ERS725493_SC_contig000104,437,1
104,17870_7_11.velvet,ERS725493_SC_contig000105,435,1
105,17870_7_11.velvet,ERS725493_SC_contig000106,435,0
106,17870_7_11.velvet,ERS725493_SC_contig000107,434,0
107,17870_7_11.velvet,ERS725493_SC_contig000108,432,0
108,17870_7_11.velvet,ERS725493_SC_contig000109,431,0
109,17870_7_11.velvet,ERS725493_SC_contig000110,426,0
110,17870_7_11.velvet,ERS725493_SC_contig000111,425,0
111,17870_7_11.velvet,ERS725493_SC_contig000112,425,0
112,17870_7_11.velvet,ERS725493_SC_contig000113,424,0
113,17870_7_11.velvet,ERS725493_SC_contig000114,422,0
114,17870_7_11.velvet,ERS725493_SC_contig000115,421,0
115,17870_7_11.velvet,ERS725493_SC_contig000116,421,0
116,17870_7_11.velvet,ERS725493_SC_contig000117,419,0
117,17870_7_11.velvet,ERS725493_SC_contig000118,419,0
118,17870_7_11.velvet,ERS725493_SC_contig000119,419,0
119,17870_7_11.velvet,ERS725493_SC_contig000120,417,0
120,17870_7_11.velvet,ERS725493_SC_contig000121,417,0
121,17870_7_11.velvet,ERS725493_SC_contig000122,416,0
122,17870_7_11.velvet,ERS725493_SC_contig000123,414,1
123,17870_7_11.velvet,ERS725493_SC_contig000124,413,0
124,17870_7_11.velvet,ERS725493_SC_contig000125,413,0
125,17870_7_11.velvet,ERS725493_SC_contig000126,411,0
126,17870_7_11.velvet,ERS725493_SC_contig000127,409,0
127,17870_7_11.velvet,ERS725493_SC_contig000128,408,1
128,17870_7_11.velvet,ERS725493_SC_contig000129,407,0
129,17870_7_11.velvet,ERS725493_SC_contig000132,406,1
130,17870_7_11.velvet,ERS725493_SC_contig000130,406,0
131,17870_7_11.velvet,ERS725493_SC_contig000131,406,0
132,17870_7_11.velvet,ERS725493_SC_contig000133,406,0
133,17870_7_11.velvet,ERS725493_SC_contig000134,406,0
134,17870_7_11.velvet,ERS725493_SC_contig000135,406,0
135,17870_7_11.velvet,ERS725493_SC_contig000136,404,0
136,17870_7_11.velvet,ERS725493_SC_contig000137,404,0
137,17870_7_11.velvet,ERS725493_SC_contig000138,404,0
138,17870_7_11.velvet,ERS725493_SC_contig000139,403,0
139,17870_7_11.velvet,ERS725493_SC_contig000140,402,0
140,17870_7_11.velvet,ERS725493_SC_contig000141,402,0
141,17870_7_11.velvet,ERS725493_SC_contig000142,402,0
142,17870_7_11.velvet,ERS725493_SC_contig000143,402,0
143,17870_7_11.velvet,ERS725493_SC_contig000144,401,0
144,17870_7_11.velvet,ERS725493_SC_contig000145,401,0
145,17870_7_11.velvet,ERS725493_SC_contig000146,401,0
146,17870_7_11.velvet,ERS725493_SC_contig000147,401,0
147,17870_7_11.velvet,ERS725493_SC_contig000148,400,1
148,17870_7_11.velvet,ERS725493_SC_contig000149,399,0
149,17870_7_11.velvet,ERS725493_SC_contig000150,399,0
150,17870_7_11.velvet,ERS725493_SC_contig000151,398,1
151,17870_7_11.velvet,ERS725493_SC_contig000154,397,1
152,17870_7_11.velvet,ERS725493_SC_contig000152,397,0
153,17870_7_11.velvet,ERS725493_SC_contig000153,397,0
154,17870_7_11.velvet,ERS725493_SC_contig000155,397,0
155,17870_7_11.velvet,ERS725493_SC_contig000156,396,0
156,17870_7_11.velvet,ERS725493_SC_contig000157,395,0
157,17870_7_11.velvet,ERS725493_SC_contig000158,395,0
158,17870_7_11.velvet,ERS725493_SC_contig000159,394,0
159,17870_7_11.velvet,ERS725493_SC_contig000160,394,0
160,17870_7_11.velvet,ERS725493_SC_contig000161,394,0
161,17870_7_11.velvet,ERS725493_SC_contig000162,392,0
162,17870_7_11.velvet,ERS725493_SC_contig000163,391,0
163,17870_7_11.velvet,ERS725493_SC_contig000165,390,1
164,17870_7_11.velvet,ERS725493_SC_contig000164,390,0
165,17870_7_11.velvet,ERS725493_SC_contig000166,390,0
166,17870_7_11.velvet,ERS725493_SC_contig000167,390,0
167,17870_7_11.velvet,ERS725493_SC_contig000168,389,1
168,17870_7_11.velvet,ERS725493_SC_contig000169,389,0
169,17870_7_11.velvet,ERS725493_SC_contig000170,389,0
170,17870_7_11.velvet,ERS725493_SC_contig000171,389,0
171,17870_7_11.velvet,ERS725493_SC_contig000172,389,0
172,17870_7_11.velvet,ERS725493_SC_contig000173,389,0
173,17870_7_11.velvet,ERS725493_SC_contig000174,388,1
174,17870_7_11.velvet,ERS725493_SC_contig000175,387,1
175,17870_7_11.velvet,ERS725493_SC_contig000176,385,1
176,17870_7_11.velvet,ERS725493_SC_contig000177,385,0
177,17870_7_11.velvet,ERS725493_SC_contig000178,385,0
178,17870_7_11.velvet,ERS725493_SC_contig000179,384,0
179,17870_7_11.velvet,ERS725493_SC_contig000182,383,1
180,17870_7_11.velvet,ERS725493_SC_contig000180,383,0
181,17870_7_11.velvet,ERS725493_SC_contig000181,383,0
182,17870_7_11.velvet,ERS725493_SC_contig000183,382,0
183,17870_7_11.velvet,ERS725493_SC_contig000184,382,0
184,17870_7_11.velvet,ERS725493_SC_contig000185,381,0
185,17870_7_11.velvet,ERS725493_SC_contig000186,380,0
186,17870_7_11.velvet,ERS725493_SC_contig000187,380,0
187,17870_7_11.velvet,ERS725493_SC_contig000188,380,0
188,17870_7_11.velvet,ERS725493_SC_contig000189,379,0
189,17870_7_11.velvet,ERS725493_SC_contig000190,378,0
190,17870_7_11.velvet,ERS725493_SC_contig000191,378,0
191,17870_7_11.velvet,ERS725493_SC_contig000192,378,0
192,17870_7_11.velvet,ERS725493_SC_contig000193,377,1
193,17870_7_11.velvet,ERS725493_SC_contig000194,376,0
194,17870_7_11.velvet,ERS725493_SC_contig000195,376,0
195,17870_7_11.velvet,ERS725493_SC_contig000196,375,0
