,genome,contig,contig length,no. of annotations on contig
0,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_1_length_250972_cov_9.760067,250972,232
1,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_2_length_218323_cov_9.565504,218323,204
2,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_3_length_154585_cov_9.665338,154585,156
3,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_4_length_146869_cov_9.706387,146869,129
4,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_5_length_145497_cov_9.901362,145497,133
5,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_6_length_144844_cov_9.709803,144844,125
6,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_7_length_133385_cov_9.776848,133385,123
7,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_8_length_127373_cov_9.742404,127373,115
8,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_9_length_121794_cov_9.600220,121794,126
9,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_10_length_109434_cov_9.952120,109434,94
10,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_11_length_108318_cov_10.099565,108318,86
11,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_12_length_106616_cov_9.721820,106616,82
12,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_13_length_100562_cov_9.888819,100562,98
13,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_14_length_100340_cov_9.653092,100340,89
14,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_15_length_100048_cov_9.689270,100048,86
15,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_16_length_99883_cov_10.082761,99883,83
16,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_17_length_99480_cov_9.803698,99480,92
17,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_18_length_92189_cov_9.714967,92189,89
18,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_19_length_73662_cov_9.747911,73662,59
19,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_20_length_69923_cov_9.555995,69923,71
20,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_21_length_66821_cov_9.586944,66821,66
21,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_22_length_66168_cov_9.755156,66168,61
22,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_23_length_65499_cov_9.547859,65499,59
23,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_24_length_53543_cov_9.799910,53543,46
24,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_25_length_51422_cov_10.064953,51422,42
25,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_26_length_42789_cov_9.888322,42789,39
26,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_27_length_42341_cov_9.660610,42341,38
27,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_28_length_40483_cov_9.486363,40483,33
28,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_29_length_37602_cov_9.776362,37602,37
29,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_30_length_33320_cov_9.610926,33320,37
30,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_31_length_32483_cov_9.661421,32483,26
31,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_32_length_31360_cov_9.626027,31360,31
32,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_33_length_30325_cov_10.017456,30325,24
33,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_34_length_29953_cov_9.574910,29953,27
34,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_35_length_29922_cov_9.677433,29922,32
35,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_36_length_29291_cov_9.682926,29291,26
36,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_37_length_25776_cov_10.016771,25776,27
37,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_38_length_25510_cov_9.663115,25510,30
38,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_39_length_25009_cov_9.990655,25009,24
