,Contig,Len,sum of seq lens in model,Coverage,Genome
0,5235_5_12.contig00001,64326,64361.0,1.0,5235_5_12
1,5235_5_12.contig00002,60612,60640.0,1.0,5235_5_12
2,5235_5_12.contig00003,53131,53152.0,1.0,5235_5_12
3,5235_5_12.contig00004,42928,42938.0,1.0,5235_5_12
4,5235_5_12.contig00005,40521,40545.0,1.0,5235_5_12
5,5235_5_12.contig00006,40109,40134.0,1.0,5235_5_12
6,5235_5_12.contig00007,36923,36952.0,1.0,5235_5_12
7,5235_5_12.contig00008,36600,36614.0,1.0,5235_5_12
8,5235_5_12.contig00009,36365,36389.0,1.0,5235_5_12
9,5235_5_12.contig00010,35201,35231.0,1.0,5235_5_12
10,5235_5_12.contig00011,33934,33957.0,1.0,5235_5_12
11,5235_5_12.contig00012,33337,33356.0,1.0,5235_5_12
12,5235_5_12.contig00013,32855,32881.0,1.0,5235_5_12
13,5235_5_12.contig00014,32199,32215.0,1.0,5235_5_12
14,5235_5_12.contig00015,31282,31296.0,1.0,5235_5_12
15,5235_5_12.contig00016,30241,30257.0,1.0,5235_5_12
16,5235_5_12.contig00017,29843,29877.0,1.0,5235_5_12
17,5235_5_12.contig00018,29837,29868.0,1.0,5235_5_12
18,5235_5_12.contig00019,29361,29374.0,1.0,5235_5_12
19,5235_5_12.contig00020,29277,29293.0,1.0,5235_5_12
20,5235_5_12.contig00021,29044,29066.0,1.0,5235_5_12
21,5235_5_12.contig00022,29029,29038.0,1.0,5235_5_12
22,5235_5_12.contig00023,28749,28771.0,1.0,5235_5_12
23,5235_5_12.contig00024,28569,28581.0,1.0,5235_5_12
24,5235_5_12.contig00025,28070,28089.0,1.0,5235_5_12
25,5235_5_12.contig00026,27720,27742.0,1.0,5235_5_12
26,5235_5_12.contig00027,27475,27493.0,1.0,5235_5_12
27,5235_5_12.contig00028,27334,27350.0,1.0,5235_5_12
28,5235_5_12.contig00029,26878,26899.0,1.0,5235_5_12
29,5235_5_12.contig00030,26800,26809.0,1.0,5235_5_12
30,5235_5_12.contig00031,26180,26210.0,1.0,5235_5_12
