,genome,contig,contig length,no. of annotations on contig
0,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_1_length_250943_cov_124.869236,250943,232
1,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_2_length_246775_cov_125.715208,246775,225
2,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_3_length_220002_cov_124.324601,220002,195
3,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_4_length_217552_cov_124.449790,217552,197
4,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_5_length_176311_cov_124.569200,176311,157
5,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_6_length_170547_cov_126.053146,170547,156
6,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_7_length_150419_cov_124.901260,150419,140
7,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_8_length_144959_cov_125.164454,144959,125
8,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_9_length_140994_cov_125.266378,140994,122
9,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_10_length_133240_cov_125.083508,133240,122
10,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_11_length_127693_cov_125.141995,127693,131
11,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_12_length_121550_cov_124.481090,121550,126
12,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_13_length_106389_cov_125.280099,106389,82
13,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_14_length_102614_cov_124.544253,102614,89
14,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_15_length_99839_cov_124.904544,99839,84
15,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_16_length_92169_cov_124.728586,92169,89
16,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_17_length_86031_cov_124.338187,86031,72
17,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_18_length_73340_cov_124.589111,73340,59
18,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_19_length_69879_cov_125.929093,69879,71
19,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_20_length_66777_cov_125.210051,66777,65
20,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_21_length_66119_cov_125.044003,66119,61
21,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_22_length_65455_cov_124.794495,65455,59
22,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_23_length_51378_cov_124.082088,51378,42
23,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_24_length_42154_cov_124.643222,42154,38
24,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_25_length_40318_cov_124.852271,40318,33
25,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_26_length_34135_cov_125.330047,34135,33
26,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_27_length_31251_cov_124.082511,31251,31
27,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_28_length_30003_cov_126.481869,30003,24
28,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_29_length_29804_cov_123.639416,29804,32
29,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_30_length_26638_cov_124.555317,26638,24
30,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_31_length_25466_cov_125.800087,25466,30
31,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_32_length_25442_cov_125.624217,25442,26
32,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_33_length_24965_cov_124.643075,24965,24
33,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_34_length_24540_cov_124.202205,24540,22
34,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_35_length_23224_cov_124.351461,23224,24
35,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_36_length_21699_cov_123.891240,21699,19
36,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_37_length_19509_cov_126.572324,19509,14
37,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_38_length_12992_cov_127.170441,12992,10
38,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_39_length_11463_cov_125.449334,11463,20
39,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_40_length_9701_cov_130.592992,9701,7
40,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_41_length_7643_cov_122.693727,7643,11
41,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_42_length_6614_cov_124.815673,6614,6
42,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_43_length_6417_cov_124.477680,6417,9
43,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_44_length_5496_cov_126.002389,5496,5
44,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_45_length_3075_cov_125.393377,3075,4
