,genome,contig,contig length,no. of annotations on contig
0,5235_5_12,contig00001,64326,62
1,5235_5_12,contig00002,60612,63
2,5235_5_12,contig00003,53131,47
3,5235_5_12,contig00004,42928,47
4,5235_5_12,contig00005,40521,32
5,5235_5_12,contig00006,40109,44
6,5235_5_12,contig00007,36923,40
7,5235_5_12,contig00008,36600,37
8,5235_5_12,contig00009,36365,33
9,5235_5_12,contig00010,35201,33
10,5235_5_12,contig00011,33934,31
11,5235_5_12,contig00012,33337,34
12,5235_5_12,contig00013,32855,32
13,5235_5_12,contig00014,32199,33
14,5235_5_12,contig00015,31282,29
15,5235_5_12,contig00016,30241,22
16,5235_5_12,contig00017,29843,28
17,5235_5_12,contig00018,29837,32
18,5235_5_12,contig00019,29361,26
19,5235_5_12,contig00020,29277,29
20,5235_5_12,contig00021,29044,39
21,5235_5_12,contig00022,29029,46
22,5235_5_12,contig00023,28749,30
23,5235_5_12,contig00024,28569,27
24,5235_5_12,contig00025,28070,35
25,5235_5_12,contig00026,27720,29
26,5235_5_12,contig00027,27475,25
27,5235_5_12,contig00028,27334,33
28,5235_5_12,contig00029,26878,26
29,5235_5_12,contig00030,26800,45
30,5235_5_12,contig00031,26180,21
31,5235_5_12,contig00032,25981,22
32,5235_5_12,contig00033,25936,24
33,5235_5_12,contig00034,25861,28
34,5235_5_12,contig00035,25728,16
35,5235_5_12,contig00036,25560,28
36,5235_5_12,contig00037,24837,22
37,5235_5_12,contig00038,24745,24
38,5235_5_12,contig00039,24630,22
39,5235_5_12,contig00040,24407,33
40,5235_5_12,contig00041,23843,20
41,5235_5_12,contig00042,23483,17
42,5235_5_12,contig00043,23383,17
43,5235_5_12,contig00044,23309,27
44,5235_5_12,contig00045,23298,23
45,5235_5_12,contig00046,23036,23
46,5235_5_12,contig00047,23014,24
47,5235_5_12,contig00048,22992,25
48,5235_5_12,contig00049,22778,15
49,5235_5_12,contig00050,22270,23
50,5235_5_12,contig00051,22038,22
51,5235_5_12,contig00052,21540,20
52,5235_5_12,contig00053,21362,21
53,5235_5_12,contig00054,21266,23
54,5235_5_12,contig00055,20991,30
55,5235_5_12,contig00056,20926,20
56,5235_5_12,contig00057,20875,21
57,5235_5_12,contig00058,20831,20
58,5235_5_12,contig00059,20094,22
59,5235_5_12,contig00060,20029,19
60,5235_5_12,contig00061,19988,22
61,5235_5_12,contig00062,19909,17
62,5235_5_12,contig00063,19831,23
63,5235_5_12,contig00064,19771,20
64,5235_5_12,contig00065,19491,20
65,5235_5_12,contig00066,19465,18
66,5235_5_12,contig00067,19182,21
67,5235_5_12,contig00068,19005,19
68,5235_5_12,contig00069,18839,16
69,5235_5_12,contig00070,18761,21
70,5235_5_12,contig00071,18618,14
71,5235_5_12,contig00072,18571,17
72,5235_5_12,contig00073,18516,13
73,5235_5_12,contig00074,18495,20
74,5235_5_12,contig00075,18337,18
75,5235_5_12,contig00076,18310,17
76,5235_5_12,contig00077,18033,16
77,5235_5_12,contig00078,17852,15
78,5235_5_12,contig00079,17797,21
79,5235_5_12,contig00080,17502,17
80,5235_5_12,contig00081,17430,15
81,5235_5_12,contig00082,17410,17
82,5235_5_12,contig00083,17195,15
83,5235_5_12,contig00084,17189,19
84,5235_5_12,contig00085,17047,18
85,5235_5_12,contig00086,16879,18
86,5235_5_12,contig00087,16781,14
87,5235_5_12,contig00088,16645,17
88,5235_5_12,contig00090,16614,17
89,5235_5_12,contig00089,16614,15
